cue8y0b,-0.10
cuec5fs,-0.05
cuect48,0.03
cuedf8c,0.02
cuedywn,0.02
czb942p,0.14
czbbocu,0.01
czbdh6q,-0.09
czbe470,0.02
czbe8el,-0.03
cue8uxd,-0.02
cue8wyc,0.00
cue90z4,-0.05
cue98iw,0.00
cue9irr,0.00
cue9m9a,0.00
cue9wmd,-0.03
cueiwqd,-0.02
cuek32r,0.00
cuevw78,0.02
cuo66zx,0.03
cuogtpr,-0.02
cuotw43,0.03
cusclcs,-0.16
cusj6ns,-0.00
cuspq0i,-0.07
cut9kie,0.12
cuo3eb6,-0.07
cuo3kkm,0.03
cuo4ugo,-0.00
cuo4x5d,0.00
cuo5t28,0.03
cuo638o,-0.07
cuo69h1,-0.02
cur1eqa,0.01
cur1il4,-0.02
cur3d3l,-0.13
cur3nz9,0.03
cur42ii,-0.04
cur4f7p,-0.02
cur4ini,-0.03
cur4lil,-0.03
cur2a1n,0.01
cur2pdk,-0.03
cur2uqp,0.06
cur2x14,-0.12
cur3391,-0.05
cur3aim,-0.18
cur3eto,0.00
cur3iwk,-0.01
curx4x8,-0.16
curxl5k,-0.02
cury77x,-0.09
cus3z80,-0.05
cus509b,-0.08
cushy1h,-0.01
curxnne,0.03
cus0pql,0.00
cus13q0,-0.09
cus1tga,-0.01
cus2a0i,0.00
cus2bsk,0.04
cuse3hn,-0.02
cusexmp,-0.09
cusqajo,-0.04
cut1vbn,0.04
cusdzdt,0.04
cusf0m2,0.15
cusf3wd,-0.17
cusk3j5,-0.09
cusnkz6,-0.13
cusqyxz,-0.16
cusrj9i,0.10
custbhe,0.02
cutww69,-0.15
cuu1cxa,0.05
cuuaxt4,-0.16
cuspbw5,-0.16
cuspqxp,0.05
cusqlh7,-0.02
cusr0k5,0.01
cuss1h1,-0.04
cussn5y,0.01
cusrauk,-0.04
cusrm3x,0.01
cuss32h,0.00
cusqwhz,0.00
cusr6q9,0.05
cuteyi2,-0.04
cutf9lt,-0.05
cutgy9o,-0.05
cutmiqb,-0.00
cutmwhv,-0.00
cutwgz7,-0.01
cutx0e5,0.01
cutx8hp,-0.05
cutxeo9,-0.02
cutzm7u,-0.00
cutzzt2,0.01
cutfbcs,0.00
cutflf9,0.05
cutfs6s,0.11
cutg464,-0.04
cutiuvq,-0.04
cutldfp,0.06
cutn1a1,0.04
cutofjq,0.00
cutr9mx,0.05
cuts49t,-0.05
cutuj90,-0.03
cutv9o7,-0.04
cutw122,0.02
cutwhnp,0.01
cutp5b7,-0.01
cutqwxt,0.09
cutrbau,0.02
cutrx58,-0.08
cutskk0,0.13
cuxs58y,-0.06
cuxs6u3,0.07
cuy2l9y,0.05
cuxyheg,-0.16
cuxzrqg,-0.01
cuy1lbg,0.02
cuytxj2,-0.03
cuyzu3i,-0.04
cuz6ywh,-0.03
cuyu02g,0.04
cuyu81b,-0.04
cuyuhis,0.06
cuz2i4r,-0.02
cuz4nv8,-0.01
cuz5db5,-0.04
cuz5mvd,0.03
cuz35v2,0.02
cuz3qj5,-0.03
cuz4pny,-0.12
cuz5tp6,0.01
cuz77tg,0.02
cuz7g5i,-0.02
cuz2tez,-0.06
cuz30ch,0.10
cuz36jt,0.02
cuz3kyd,-0.15
cuz29jc,-0.01
cuz2xft,-0.05
cuz7hkb,0.01
cuz7nri,0.03
cuz7vcp,-0.06
cuz8230,-0.07
cv2pmya,-0.21
cv2r6nq,-0.11
cv2dh13,-0.01
cv2dseb,-0.06
cv66398,0.02
cv66ejy,-0.05
cv66k1g,0.00
cv68h0p,-0.08
cv68knd,-0.04
cv68s2q,0.03
cv694vi,0.01
cv6a8dj,0.06
cv6ad4b,0.04
cv6aewg,-0.12
cv6ahpr,0.02
cv66rc9,0.02
cv6ed9t,-0.01
cv6gdio,0.02
cv6n33r,-0.03
cv6v5az,-0.02
cv6w2dr,0.04
cv663s2,0.00
cv66o5d,0.05
cv6pkui,-0.06
